epoch,train_loss,val_psnr,val_ssim,learning_rate
0,0.04984921179782642,24.03260925637658,0.78229886,0.0001
1,0.03627899221849305,24.798535496778552,0.8100336,0.0001
2,0.034410027748136694,25.187935258490334,0.82266766,0.0001
3,0.0336654053703517,25.38830918221573,0.82562065,0.0001
4,0.032811935498828895,25.501069576411517,0.83035785,0.0001
5,0.032636494758209574,25.51963713918756,0.8288269,0.0001
6,0.032335353597375376,25.68244100164764,0.832592,0.0001
7,0.03192018326230262,25.515783193114018,0.83360726,0.0001
8,0.03181434458497019,25.642327710684768,0.8326352,0.0001
9,0.031770222145752425,25.779002876736637,0.83454144,0.0001
10,0.0316623236148303,25.793058782270887,0.83606637,0.0001
11,0.03151198931059627,25.770372046408223,0.834024,0.0001
12,0.031227510468503143,25.8429944594106,0.837085,0.0001
13,0.0311996543022163,25.886220928284526,0.83522594,0.0001
14,0.03107440615419879,25.87308909418062,0.837384,0.0001
15,0.031013727625442435,25.963496234631965,0.8370561,0.0001
16,0.030824283244152033,25.951828143604178,0.8382154,0.0001
17,0.030854701670063767,25.910927684911524,0.83795166,0.0001
18,0.03073320828179896,25.931392141371532,0.83858573,0.0001
19,0.030677990146873682,25.996821419759865,0.8386453,0.0001
20,0.03060244627920167,25.988760638746434,0.8383372,0.0001
21,0.03046778945549756,26.02280909158469,0.8392612,0.0001
22,0.030402578470144888,25.95750674168459,0.8388115,0.0001
23,0.030573162830969454,26.067509932595275,0.8399313,0.0001
24,0.030304757447934535,26.03903458205587,0.84162676,0.0001
25,0.0301866633428027,25.98822515106823,0.8403302,0.0001
26,0.03009896550129235,26.043959941520708,0.8421727,0.0001
27,0.03011630387700556,26.113779594048683,0.84129745,0.0001
28,0.03008394202699056,26.023260142681366,0.841967,0.0001
29,0.029899869367352797,26.078760350507128,0.84234273,0.0001
30,0.02990205430854183,26.057766431877702,0.84281224,0.0001
31,0.02980100117383008,26.093569471209864,0.84309196,0.0001
32,0.02967825737700376,26.172801040844185,0.84233487,0.0001
33,0.029800973145624077,26.077674895820017,0.8424588,0.0001
34,0.029637570514170163,26.093295792938214,0.84275764,0.0001
35,0.029570717067092998,26.16515326293171,0.8418866,0.0001
36,0.029565587259134978,26.167100074754405,0.8438341,0.0001
37,0.02939687522850619,26.139286179438674,0.84408534,0.0001
